,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,marawi,100,PH,1561588620,94,8.0,124.29,77.0,5.99
1,new norfolk,0,AU,1561588620,86,-42.78,147.06,43.0,12.75
2,puerto ayora,20,EC,1561588385,61,-0.74,-90.35,80.6,23.04
3,lakatoro,100,VU,1561588621,79,-16.11,167.42,80.87,17.87
4,bethel,90,US,1561588621,82,60.79,-161.76,66.2,14.99
5,kuching,75,MY,1561588621,94,1.56,110.34,77.0,2.24
6,carnarvon,0,ZA,1561588621,42,-30.97,22.13,40.37,5.44
7,lasa,0,CY,1561588622,94,34.92,32.53,77.0,6.93
8,yellowknife,75,CA,1561588622,67,62.45,-114.38,64.0,19.46
9,nikolskoye,0,RU,1561588622,82,59.7,30.79,57.99,4.34
10,ushuaia,75,AR,1561588411,79,-54.81,-68.31,28.4,20.8
11,hermanus,0,ZA,1561588499,90,-34.42,19.24,55.99,5.01
12,samarai,63,PG,1561588622,90,-10.62,150.67,77.63,6.67
13,albany,75,US,1561588622,45,42.65,-73.75,84.2,10.29
14,vestmannaeyjar,100,IS,1561588622,97,63.44,-20.27,52.25,13.2
15,surt,0,LY,1561588623,88,31.21,16.59,75.83,4.12
16,dikson,100,RU,1561588437,94,73.51,80.55,33.71,17.11
17,lebu,75,ET,1561588623,67,8.96,38.73,62.6,4.7
18,codrington,75,AU,1561588623,100,-28.95,153.24,60.8,9.48
19,port blair,100,IN,1561588623,81,11.67,92.75,83.93,20.09
20,mataura,30,NZ,1561588450,81,-46.19,168.86,50.0,1.01
21,avarua,43,CK,1561588623,69,-21.21,-159.78,77.0,4.7
22,kasongo-lunda,6,CD,1561588624,60,-6.48,16.82,64.31,3.38
23,castrillon,75,ES,1561588624,82,43.4,-6.79,64.4,1.52
24,saint-philippe,75,CA,1561588624,65,45.36,-73.48,80.01,13.87
25,salinopolis,75,BR,1561588624,78,-0.61,-47.36,82.31,18.34
26,cape town,0,ZA,1561588624,93,-33.93,18.42,52.0,8.05
27,khatanga,0,RU,1561588624,41,71.98,102.47,53.15,8.97
28,hauterive,90,CA,1561588625,93,49.18,-68.27,68.0,11.41
29,saint-georges,20,CA,1561588625,65,46.12,-70.67,75.99,8.95
30,tuktoyaktuk,90,CA,1561588625,80,69.44,-133.03,39.2,18.34
31,faya,0,SA,1561588625,17,18.39,42.45,75.2,3.36
32,muros,20,ES,1561588625,93,42.77,-9.06,63.0,4.27
33,qaanaaq,13,GL,1561588476,68,77.48,-69.36,36.23,3.49
34,panjab,0,AF,1561588625,40,34.38,67.02,42.35,6.15
35,fairbanks,75,US,1561588571,20,64.84,-147.72,79.0,4.7
36,tuatapere,92,NZ,1561588626,81,-46.13,167.69,50.0,1.01
37,el campo,1,US,1561588626,58,29.2,-96.27,91.4,11.41
38,luderitz,0,NA,1561588626,62,-26.65,15.16,51.8,2.24
39,nome,75,US,1561588626,62,30.04,-94.42,91.4,6.93
40,east london,59,ZA,1561588626,58,-33.02,27.91,59.09,13.56
41,bambous virieux,75,MU,1561588626,94,-20.34,57.76,73.4,13.87
42,hilo,20,US,1561588512,51,19.71,-155.08,86.0,11.41
43,mar del plata,86,AR,1561588521,72,-46.43,-67.52,38.39,10.16
44,parthenay,0,FR,1561588627,54,46.65,-0.25,82.4,4.7
45,los llanos de aridane,75,ES,1561588627,68,28.66,-17.92,71.6,14.99
46,asosa,62,ET,1561588627,93,10.07,34.53,65.21,1.36
47,sawakin,0,SD,1561588627,55,19.1,37.33,87.8,4.7
48,cidreira,16,BR,1561588627,57,-30.17,-50.22,47.21,2.64
49,esperance,90,AU,1561588618,87,-33.86,121.89,55.4,14.99
50,yar-sale,63,RU,1561588627,74,66.83,70.83,46.13,4.18
51,ilulissat,20,GL,1561588627,75,69.22,-51.1,44.6,11.41
52,castro,90,CL,1561588474,93,-42.48,-73.76,46.4,11.41
53,rikitea,44,PF,1561588628,81,-23.12,-134.97,74.39,11.18
54,bilibino,45,RU,1561588628,37,68.06,166.44,59.27,10.49
55,enshi,83,CN,1561588628,86,30.29,109.48,66.29,4.9
56,bluff,10,AU,1561588628,65,-23.58,149.07,68.09,25.19
