,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,bambous virieux,75,MU,1561592470,88,-20.34,57.76,73.4,11.41
1,punta arenas,0,CL,1561592471,79,-53.16,-70.91,30.0,12.75
2,santa fe,0,AR,1561592471,67,-31.62,-60.7,44.33,9.78
3,puerto ayora,20,EC,1561592459,65,-0.74,-90.35,78.8,20.8
4,cape town,90,ZA,1561592401,100,-33.93,18.42,53.01,10.29
5,joensuu,0,FI,1561592293,82,62.6,29.76,57.99,2.24
6,hermanus,0,ZA,1561592471,93,-34.42,19.24,53.01,4.0
7,tuktoyaktuk,90,CA,1561592471,75,69.44,-133.03,41.0,17.22
8,tagusao,96,PH,1561592477,75,9.19,117.81,83.75,14.45
9,kapaa,75,US,1561592202,78,22.08,-159.32,80.6,12.75
10,muravlenko,96,RU,1561592478,59,63.79,74.5,49.19,17.6
11,avarua,43,CK,1561592478,78,-21.21,-159.78,75.2,6.93
12,fortuna,20,US,1561592478,49,40.6,-124.16,68.0,11.41
13,mataura,30,NZ,1561592478,75,-46.19,168.86,53.01,4.0
14,codrington,75,AU,1561592478,93,-28.95,153.24,64.4,4.7
15,east london,59,ZA,1561592478,58,-33.02,27.91,59.09,13.56
16,sola,100,TZ,1561592479,65,-3.17,33.8,69.17,2.46
17,sao jose da coroa grande,81,BR,1561592479,95,-8.9,-35.15,71.87,4.12
18,barrow,99,AR,1561592479,33,-38.31,-60.23,50.81,21.47
19,cabedelo,0,BR,1561592479,94,-6.97,-34.84,75.2,4.7
20,bredasdorp,0,ZA,1561592479,93,-34.53,20.04,53.01,1.12
21,peniche,20,PT,1561592479,88,39.36,-9.38,63.0,4.7
22,rikitea,44,PF,1561592479,81,-23.12,-134.97,74.39,11.18
23,las choapas,20,MX,1561592480,74,17.91,-94.09,86.0,23.04
24,viedma,51,AR,1561592214,45,-40.81,-62.99,54.05,23.85
25,cherskiy,22,RU,1561592216,33,68.75,161.3,66.29,11.12
26,monrovia,75,LR,1561592445,94,6.33,-10.8,77.0,14.74
27,chuy,36,UY,1561592399,78,-33.69,-53.46,45.41,8.01
28,ushuaia,75,AR,1561592480,79,-54.81,-68.31,28.4,18.34
29,eatonton,1,US,1561592480,69,33.33,-83.39,86.0,3.78
30,havre-saint-pierre,90,CA,1561592480,67,50.23,-63.6,59.0,8.05
31,tasiilaq,100,GL,1561592480,81,65.61,-37.64,44.6,1.12
32,maloy,88,ID,1561592480,86,1.0,118.1,78.89,2.24
33,thompson,75,CA,1561592317,67,55.74,-97.86,60.8,2.24
34,carnarvon,0,ZA,1561592481,42,-30.97,22.13,40.37,5.44
35,talnakh,0,RU,1561592481,57,69.49,88.39,44.6,8.95
36,jamestown,0,AU,1561592236,55,-33.21,138.6,58.37,16.89
37,hilo,40,US,1561592225,58,19.71,-155.08,89.01,13.87
38,izberbash,20,RU,1561592481,69,42.57,47.86,75.2,6.71
39,imbituba,75,BR,1561592481,67,-28.24,-48.67,57.2,8.05
40,dingle,100,PH,1561592481,82,11.0,122.67,80.15,7.72
41,albany,1,US,1561592403,50,42.65,-73.75,80.01,6.93
42,kalmunai,100,LK,1561592482,76,7.42,81.82,75.83,2.73
43,busselton,25,AU,1561592482,47,-33.64,115.35,55.99,32.19
44,great yarmouth,10,GB,1561592482,82,52.61,1.73,57.0,8.05
45,vardo,1,US,1561592482,45,39.62,-77.74,87.8,5.82
46,hobart,0,AU,1561592225,75,-42.88,147.33,51.01,8.05
47,bakel,9,SN,1561592482,21,14.9,-12.46,95.45,12.33
48,severo-kurilsk,100,RU,1561592483,97,50.68,156.12,41.09,14.92
49,faanui,1,PF,1561592483,73,-16.48,-151.75,80.51,6.55
50,namibe,100,AO,1561592483,81,-15.19,12.15,65.21,13.76
51,sterling,1,US,1561592483,52,39.0,-77.4,89.6,5.03
52,karratha,91,AU,1561592483,53,-20.74,116.85,68.09,2.84
53,altar,63,MX,1561592483,17,30.72,-111.84,98.01,8.99
54,mocuba,14,MZ,1561592484,97,-16.84,36.99,58.19,3.51
55,lebu,64,ET,1561592484,75,8.96,38.73,57.47,0.29
56,kirkland lake,1,CA,1561592484,57,48.15,-80.03,77.0,6.93
57,sfantu gheorghe,0,RO,1561592484,93,44.65,26.83,71.01,3.36
58,lompoc,1,US,1561592484,60,34.64,-120.46,73.99,13.87
59,bayji,0,IQ,1561592484,12,34.93,43.49,92.57,8.95
60,saskylakh,100,RU,1561592484,75,71.97,114.09,52.25,17.45
61,mutare,50,MZ,1561592485,88,-18.97,32.67,51.17,1.52
62,tygda,70,RU,1561592485,41,53.11,126.33,64.67,4.99
63,huaihua,79,CN,1561592485,87,27.56,109.96,74.93,1.52
64,mar del plata,86,AR,1561592485,72,-46.43,-67.52,38.39,10.16
65,ancud,90,CL,1561592485,93,-41.87,-73.83,46.4,11.41
66,cidreira,16,BR,1561592485,57,-30.17,-50.22,47.21,2.64
67,tomatlan,96,MX,1561592485,73,19.93,-105.25,83.93,7.92
68,hohhot,40,CN,1561592486,93,40.81,111.65,62.6,4.47
69,comodoro rivadavia,0,AR,1561592486,53,-45.87,-67.48,50.0,23.04
70,orlik,0,PL,1561592486,77,53.95,17.74,66.2,25.28
71,dikson,100,RU,1561592486,94,73.51,80.55,33.71,17.11
72,sukaraja,4,ID,1561592486,97,-3.46,102.54,66.11,2.53
73,prince rupert,1,CA,1561592377,77,54.32,-130.32,62.6,9.17
74,touros,20,BR,1561592487,88,-5.2,-35.46,75.2,3.36
75,yellowknife,75,CA,1561592487,82,62.45,-114.38,55.4,19.46
76,taoudenni,1,ML,1561592487,8,22.68,-3.98,98.15,11.25
77,kon tum,99,VN,1561592487,99,14.36,108.0,71.69,1.32
78,guane,25,CU,1561592487,74,22.2,-84.09,84.83,22.97
79,mahebourg,75,MU,1561592487,88,-20.41,57.7,73.4,11.41
80,sorland,100,NO,1561592487,87,67.67,12.69,48.11,17.98
81,narsaq,100,GL,1561592487,93,60.91,-46.05,48.2,4.7
82,kovrov,100,RU,1561592488,97,56.37,41.31,52.61,6.02
83,lorengau,90,PG,1561592488,79,-2.02,147.27,83.21,6.35
84,independencia,65,MX,1561592488,96,20.06,-97.05,70.79,3.27
85,chitrakonda,58,IN,1561592488,89,18.12,82.08,74.21,3.74
86,castro,90,CL,1561592488,93,-42.48,-73.76,46.4,11.41
87,constantine,0,DZ,1561592489,33,36.36,6.61,75.2,2.24
88,srednekolymsk,77,RU,1561592489,29,67.46,153.71,70.97,18.25
89,qaanaaq,13,GL,1561592489,68,77.48,-69.36,36.23,3.49
90,dryden,75,CA,1561592489,31,49.79,-92.84,78.8,18.34
91,beroroha,0,MG,1561592489,75,-21.68,45.17,63.59,7.25
92,sidrolandia,90,BR,1561592489,100,-20.93,-54.96,59.0,2.24
93,hovd,75,NO,1561592489,81,63.83,10.7,53.01,14.99
94,faya,0,SA,1561592490,19,18.39,42.45,73.4,1.25
95,butaritari,83,KI,1561592490,77,3.07,172.79,83.39,13.22
96,brae,90,GB,1561592490,93,60.4,-1.35,51.8,6.93
97,bratsk,10,RU,1561592490,56,56.15,101.63,68.0,6.71
98,lac du bonnet,0,CA,1561592490,28,50.25,-96.06,81.0,3.0
99,atar,4,MR,1561592490,12,20.52,-13.05,97.25,15.48
100,homer,1,US,1561592490,72,59.64,-151.54,71.01,12.75
101,leshukonskoye,93,RU,1561592491,67,64.9,45.76,48.29,5.32
102,patacamaya,0,BO,1561592491,25,-17.23,-67.92,41.27,7.16
103,new port richey,1,US,1561592395,58,28.24,-82.72,95.0,12.75
104,kristiansund,100,NO,1561592491,87,63.12,7.73,50.0,16.11
105,port elizabeth,1,US,1561592491,48,39.31,-74.98,89.01,5.82
106,tiznit,0,MA,1561592406,88,29.7,-9.73,66.83,18.81
107,high level,75,CA,1561592491,29,58.52,-117.13,75.2,6.93
108,okhotsk,9,RU,1561592491,37,59.36,143.24,73.13,14.43
109,ko samui,20,TH,1561592491,74,9.54,99.94,84.2,5.82
110,saint-augustin,75,CA,1561592492,60,45.63,-73.98,77.0,17.22
111,saint anthony,1,US,1561592492,28,43.97,-111.68,80.6,12.75
112,atuona,0,PF,1561592492,77,-9.8,-139.03,80.51,16.91
113,new norfolk,0,AU,1561592272,75,-42.78,147.06,51.01,8.05
114,mount isa,37,AU,1561592492,42,-20.73,139.49,64.4,12.75
115,mount gambier,17,AU,1561592266,76,-37.83,140.78,51.8,12.75
116,tubuala,40,PA,1561592492,70,9.52,-79.03,86.0,5.82
117,constitucion,40,MX,1561592492,9,23.99,-104.67,87.8,10.29
118,yokadouma,91,CM,1561592493,99,3.52,15.05,67.55,3.67
119,nobres,54,BR,1561592493,79,-14.72,-56.34,70.61,7.25
120,kuusamo,0,FI,1561592493,81,65.96,29.19,50.0,3.36
